step,t_sec,x,y,yaw,ref_x,ref_y,ref_yaw,pos_err,yaw_err,v_cmd,w_cmd,delta_v,delta_w,lin_accel,ang_accel
57,5.7,3.163939,1.789824,1.62213,2.836146,0.080701,0.549779,1.740272,1.072352,0.897755,-0.108215,0.030182,0.008211,0.301818,0.082111
58,5.8,3.159333,1.879481,1.611309,2.878778,0.106826,0.628319,1.794719,0.98299,0.852867,-0.09876,-0.044888,0.009454,-0.448878,0.094543
59,5.9,3.155879,1.964698,1.601433,2.919229,0.136216,0.706858,1.843733,0.894575,0.855388,-0.088143,0.002522,0.010617,0.025215,0.106174
60,6.0,3.153258,2.050197,1.592619,2.957249,0.168688,0.785398,1.891691,0.80722,0.877531,-0.076998,0.022142,0.011145,0.221422,0.111452
61,6.1,3.151344,2.137929,1.584919,2.992604,0.204043,0.863938,1.940389,0.720981,0.904716,-0.065863,0.027186,0.011135,0.271858,0.111348
62,6.2,3.150066,2.228391,1.578333,3.025077,0.242064,0.942478,1.990256,0.635855,0.857392,-0.055082,-0.047324,0.010781,-0.473243,0.107806
63,6.3,3.14942,2.314128,1.572824,3.054466,0.282515,1.021018,2.033831,0.551807,0.858128,-0.04478,0.000736,0.010302,0.007362,0.103024
64,6.4,3.149246,2.399941,1.568346,3.080591,0.325147,1.099557,2.07593,0.468789,0.87906,-0.03519,0.020932,0.00959,0.209316,0.095896
65,6.5,3.149461,2.487847,1.564827,3.103291,0.369697,1.178097,2.118653,0.38673,0.905482,-0.026459,0.026422,0.008731,0.26422,0.087311
66,6.6,3.150002,2.578393,1.562181,3.122425,0.415891,1.256637,2.162678,0.305544,0.857713,-0.018648,-0.047769,0.007811,-0.47769,0.078109
67,6.7,3.150741,2.664161,1.560316,3.137876,0.463444,1.335177,2.200755,0.22514,0.785543,-0.011865,-0.07217,0.006783,-0.721696,0.067834
68,6.8,3.151564,2.742711,1.55913,3.149548,0.512062,1.413717,2.23065,0.145413,0.640883,-0.006207,-0.14466,0.005658,-1.446602,0.056583
69,6.9,3.152311,2.806795,1.558509,3.15737,0.561447,1.492257,2.245354,0.066253,0.486621,-0.001822,-0.154262,0.004384,-1.542619,0.043845
70,7.0,3.152909,2.855454,1.558327,3.161292,0.611292,1.570796,2.244177,-0.012469,0.350723,0.001259,-0.135899,0.003081,-1.358985,0.03081
71,7.1,3.153347,2.890523,1.558453,3.161292,0.661292,1.570796,2.229245,-0.012343,0.242334,0.003157,-0.108389,0.001898,-1.083892,0.018981
72,7.2,3.153646,2.914755,1.558769,3.161292,0.711292,1.570796,2.203476,-0.012028,0.16132,0.004096,-0.081014,0.000939,-0.810139,0.009389
73,7.3,3.15384,2.930886,1.559178,3.161292,0.761292,1.570796,2.169606,-0.011618,0.103646,0.004336,-0.057674,0.00024,-0.576738,0.002403
74,7.4,3.15396,2.94125,1.559612,3.161292,0.811292,1.570796,2.12997,-0.011185,0.064215,0.004123,-0.039431,-0.000213,-0.394307,-0.002132
75,7.5,3.154032,2.947671,1.560024,3.161292,0.861292,1.570796,2.086391,-0.010772,0.038223,0.003656,-0.025992,-0.000466,-0.259923,-0.004663
76,7.6,3.154073,2.951493,1.56039,3.161292,0.911292,1.570796,2.040213,-0.010407,0.021686,0.003084,-0.016537,-0.000573,-0.16537,-0.005728
77,7.7,3.154096,2.953661,1.560698,3.161292,0.961292,1.570796,1.992382,-0.010098,0.011547,0.002501,-0.010139,-0.000583,-0.101387,-0.005826
78,7.8,3.154107,2.954816,1.560948,3.161292,1.011292,1.570796,1.943537,-0.009848,0.005585,0.001965,-0.005962,-0.000536,-0.059619,-0.005361
79,7.9,3.154113,2.955374,1.561145,3.161292,1.061292,1.570796,1.894096,-0.009652,0.002255,0.001503,-0.003331,-0.000462,-0.033307,-0.004622
80,8.0,3.154115,2.9556,1.561295,3.161292,1.111292,1.570796,1.844321,-0.009501,0.00052,0.001123,-0.001735,-0.00038,-0.017349,-0.003802
81,8.1,3.154116,2.955652,1.561407,3.161292,1.161292,1.570796,1.794374,-0.009389,-0.000289,0.000821,-0.000809,-0.000302,-0.008086,-0.003016
82,8.2,3.154115,2.955623,1.561489,3.161292,1.211292,1.570796,1.744345,-0.009307,-0.000588,0.000589,-0.0003,-0.000232,-0.002997,-0.002322
83,8.3,3.154115,2.955564,1.561548,3.161292,1.261292,1.570796,1.694287,-0.009248,-0.000629,0.000414,-4.1e-05,-0.000174,-0.000411,-0.001743
84,8.4,3.154114,2.955501,1.56159,3.161292,1.311292,1.570796,1.644224,-0.009207,-0.000555,0.000286,7.4e-05,-0.000128,0.000741,-0.001279
85,8.5,3.154114,2.955446,1.561618,3.161292,1.361292,1.570796,1.594169,-0.009178,-0.000443,0.000194,0.000112,-9.2e-05,0.00112,-0.00092
86,8.6,3.154113,2.955401,1.561638,3.161292,1.411292,1.570796,1.544126,-0.009159,-0.000332,0.00013,0.000112,-6.5e-05,0.001118,-0.000649
87,8.7,3.154113,2.955368,1.561651,3.161292,1.461292,1.570796,1.494093,-0.009146,-0.000236,8.5e-05,9.5e-05,-4.5e-05,0.000954,-0.000449
88,8.8,3.154113,2.955345,1.561659,3.161292,1.511292,1.570796,1.44407,-0.009137,-0.000162,5.4e-05,7.5e-05,-3.1e-05,0.000746,-0.000305
89,8.9,3.154113,2.955328,1.561665,3.161292,1.561292,1.570796,1.394054,-0.009132,-0.000107,3.4e-05,5.5e-05,-2e-05,0.00055,-0.000204
90,9.0,3.154113,2.955318,1.561668,3.161292,1.611292,1.570796,1.344044,-0.009128,-6.8e-05,2.1e-05,3.9e-05,-1.3e-05,0.000387,-0.000133
91,9.1,3.154112,2.955311,1.56167,3.161292,1.661292,1.570796,1.294038,-0.009126,-4.2e-05,1.2e-05,2.6e-05,-9e-06,0.000262,-8.5e-05
92,9.2,3.154112,2.955307,1.561671,3.161292,1.711292,1.570796,1.244035,-0.009125,-2.4e-05,7e-06,1.7e-05,-5e-06,0.000171,-5.3e-05
93,9.3,3.154112,2.955304,1.561672,3.161292,1.761292,1.570796,1.194034,-0.009124,-1.4e-05,3e-06,1.1e-05,-3e-06,0.000108,-3.2e-05
94,9.4,3.154112,2.955303,1.561672,3.161292,1.811292,1.570796,1.144033,-0.009124,-7e-06,2e-06,7e-06,-2e-06,6.5e-05,-1.9e-05
95,9.5,3.154112,2.955302,1.561672,3.161292,1.861292,1.570796,1.094033,-0.009124,-3e-06,1e-06,4e-06,-1e-06,3.8e-05,-1.1e-05
96,9.6,3.154112,2.955302,1.561672,3.161292,1.911292,1.570796,1.044034,-0.009124,-1e-06,-0.0,2e-06,-1e-06,2.1e-05,-5e-06
97,9.7,3.154112,2.955302,1.561672,3.161292,1.961292,1.570796,0.994035,-0.009124,-0.0,-0.0,1e-06,-0.0,1.1e-05,-2e-06
98,9.8,3.154112,2.955302,1.561672,3.161292,2.011292,1.570796,0.944037,-0.009124,0.0,-0.0,0.0,-0.0,5e-06,-1e-06
99,9.9,3.154112,2.955302,1.561672,3.161292,2.061292,1.570796,0.894038,-0.009124,0.0,-0.0,0.0,0.0,2e-06,0.0
100,10.0,3.154112,2.955302,1.561672,3.161292,2.111292,1.570796,0.84404,-0.009124,0.0,-0.0,-0.0,0.0,-0.0,0.0
101,10.1,3.154112,2.955302,1.561672,3.161292,2.161292,1.570796,0.794042,-0.009124,0.0,-0.0,-0.0,0.0,-1e-06,1e-06
102,10.2,3.154112,2.955302,1.561672,3.161292,2.211292,1.570796,0.744044,-0.009124,0.0,-0.0,-0.0,0.0,-1e-06,1e-06
103,10.3,3.154112,2.955302,1.561672,3.161292,2.261292,1.570796,0.694047,-0.009124,0.0,-0.0,-0.0,0.0,-1e-06,0.0
104,10.4,3.154112,2.955302,1.561672,3.161292,2.311292,1.570796,0.64405,-0.009124,0.0,-0.0,-0.0,0.0,-1e-06,0.0
105,10.5,3.154112,2.955302,1.561672,3.161292,2.361292,1.570796,0.594053,-0.009124,0.0,-0.0,-0.0,0.0,-1e-06,0.0
106,10.6,3.154112,2.955302,1.561672,3.161292,2.411292,1.570796,0.544057,-0.009124,0.0,-0.0,-0.0,0.0,-0.0,0.0
107,10.7,3.154112,2.955302,1.561672,3.161292,2.461292,1.570796,0.494062,-0.009124,0.0,-0.0,-0.0,0.0,-0.0,0.0
108,10.8,3.154112,2.955302,1.561672,3.161292,2.511292,1.570796,0.444068,-0.009124,0.0,-0.0,-0.0,0.0,-0.0,0.0
109,10.9,3.154112,2.955302,1.561672,3.161292,2.561292,1.570796,0.394075,-0.009124,0.0,-0.0,-0.0,0.0,-0.0,0.0
