step,t_sec,x,y,yaw,ref_x,ref_y,ref_yaw,pos_err,yaw_err,v_cmd,w_cmd,delta_v,delta_w,lin_accel,ang_accel
76,7.6,0.405619,-0.966345,3.663104,-0.156321,0.031094,5.969026,1.144842,-2.305922,0.68434,-1.2,0.04143,0.0,0.414301,0.0
77,7.7,0.346282,-1.000439,3.543104,-0.118279,0.018734,6.047566,1.120058,-2.504462,0.679287,-1.2,-0.005053,0.0,-0.050533,0.0
78,7.8,0.283756,-1.026986,3.423104,-0.079384,0.009396,6.126106,1.098161,-2.703002,0.715521,-1.2,0.036234,0.0,0.362336,0.0
79,7.9,0.21502,-1.046864,3.303104,-0.039877,0.003138,6.204645,1.080498,-2.901542,0.701466,-1.2,-0.014055,0.0,-0.140551,0.0
80,8.0,0.145787,-1.058144,3.183104,0.0,0.0,6.283185,1.06814,-3.100081,0.72579,-1.2,0.024324,0.0,0.243242,0.0
81,8.1,0.07327,-1.061156,3.063104,0.04,0.0,6.204645,1.061677,-3.141542,0.702874,-1.2,-0.022916,0.0,-0.229162,0.0
82,8.2,0.003199,-1.055645,2.943104,0.079877,-0.003138,6.126106,1.055296,3.100184,0.718238,-1.2,0.015364,0.0,0.15364,0.0
83,8.3,-0.067214,-1.041482,2.823104,0.119384,-0.009396,6.047566,1.048819,3.058723,0.744169,-1.2,0.025931,0.0,0.25931,0.0
84,8.4,-0.137889,-1.01818,2.703104,0.158279,-0.018734,5.969026,1.042405,3.017263,0.714177,-1.2,-0.029991,0.0,-0.299912,0.0
85,8.5,-0.20255,-0.987858,2.583104,0.196321,-0.031094,5.890486,1.036578,2.975803,0.717395,-1.2,0.003218,0.0,0.032182,0.0
86,8.6,-0.263389,-0.949842,2.463104,0.233276,-0.046402,5.811946,1.030962,2.934343,0.731633,-1.2,0.014238,0.0,0.142379,0.0
87,8.7,-0.320348,-0.903924,2.343104,0.268917,-0.064561,5.733407,1.025555,2.892883,0.746279,-1.2,0.014646,0.0,0.146457,0.0
88,8.8,-0.372423,-0.850468,2.223104,0.303022,-0.085461,5.654867,1.02052,2.851422,0.705647,-1.2,-0.040632,0.0,-0.406321,0.0
89,8.9,-0.415257,-0.794391,2.103104,0.335383,-0.108973,5.576327,1.016494,2.809962,0.69953,-1.2,-0.006117,0.0,-0.06117,0.0
90,9.0,-0.45076,-0.734117,1.983104,0.365799,-0.13495,5.497787,1.012803,2.768502,0.708222,-1.2,0.008692,0.0,0.086918,0.0
91,9.1,-0.47914,-0.66923,1.863104,0.394084,-0.163235,5.419247,1.009233,2.727042,0.721614,-1.2,0.013392,0.0,0.133921,0.0
92,9.2,-0.499934,-0.600129,1.743104,0.420061,-0.193651,5.340708,1.005792,2.685582,0.682376,-1.2,-0.039238,0.0,-0.39238,0.0
93,9.3,-0.511634,-0.532902,1.623104,0.443573,-0.226012,5.262168,1.003296,2.644121,0.680915,-1.2,-0.001461,0.0,-0.014606,0.0
94,9.4,-0.515194,-0.464904,1.503104,0.464473,-0.260117,5.183628,1.000842,2.602661,0.696439,-1.2,0.015523,0.0,0.155234,0.0
95,9.5,-0.510483,-0.395419,1.383104,0.482632,-0.295758,5.105088,0.998104,2.561201,0.663016,-1.2,-0.033423,0.0,-0.33423,0.0
96,9.6,-0.498112,-0.330282,1.263104,0.49794,-0.332713,5.026548,0.996055,2.519741,0.670358,-1.2,0.007343,0.0,0.073425,0.0
97,9.7,-0.47781,-0.266395,1.143104,0.5103,-0.370755,4.948008,0.993606,2.478281,0.639201,-1.2,-0.031157,0.0,-0.31157,0.0
98,9.8,-0.451297,-0.208232,1.023104,0.519638,-0.40965,4.869469,0.991607,2.436821,0.653647,-1.2,0.014446,0.0,0.144462,0.0
99,9.9,-0.417261,-0.152428,0.903104,0.525896,-0.449157,4.790929,0.988732,2.39536,0.629496,-1.2,-0.024151,0.0,-0.241512,0.0
100,10.0,-0.378284,-0.102997,0.783104,0.529034,-0.489034,4.712389,0.986027,2.3539,0.650561,-1.2,0.021064,0.0,0.210643,0.0
101,10.1,-0.332177,-0.057101,0.663104,0.529034,-0.529034,4.633849,0.982041,2.31244,0.631244,-1.2,-0.019316,0.0,-0.193161,0.0
102,10.2,-0.282429,-0.018244,0.543104,0.525896,-0.568911,4.555309,0.978071,2.27098,0.600472,-1.2,-0.030773,0.0,-0.307726,0.0
103,10.3,-0.231022,0.012788,0.423104,0.519638,-0.608418,4.47677,0.974366,2.22952,0.631226,-1.2,0.030754,0.0,0.307539,0.0
104,10.4,-0.173466,0.038706,0.303104,0.5103,-0.647313,4.39823,0.968586,2.188059,0.627167,-1.2,-0.004059,0.0,-0.040589,0.0
105,10.5,-0.113608,0.057426,0.183104,0.49794,-0.685355,4.31969,0.962141,2.146599,0.681276,-1.2,0.054109,0.0,0.541088,0.0
106,10.6,-0.04662,0.069831,0.063104,0.482632,-0.72231,4.24115,0.952678,2.105139,0.684059,-1.2,0.002783,0.0,0.027833,0.0
107,10.7,0.02165,0.074144,-0.056896,0.464473,-0.757951,4.16261,0.942589,2.063679,0.657549,-1.2,-0.02651,0.0,-0.2651,0.0
108,10.8,0.087299,0.070405,-0.176896,0.443573,-0.792056,4.08407,0.933151,2.022219,0.550932,-1.2,-0.106617,0.0,-1.066172,0.0
109,10.9,0.141532,0.06071,-0.296896,0.420061,-0.824417,4.005531,0.927916,1.980759,0.42706,-1.114823,-0.123871,0.085177,-1.238714,0.851767
110,11.0,0.18237,0.048216,-0.408378,0.394084,-0.854833,3.926991,0.927535,1.947816,0.315369,-0.940102,-0.111691,0.174722,-1.116913,1.747217
111,11.1,0.211313,0.035692,-0.502389,0.365799,-0.883118,3.848451,0.931707,1.932346,0.226111,-0.742216,-0.089258,0.197886,-0.892577,1.978857
112,11.2,0.23113,0.024805,-0.57661,0.335383,-0.909095,3.769911,0.939701,1.936664,0.159597,-0.556761,-0.066515,0.185455,-0.665148,1.854551
113,11.3,0.24451,0.016104,-0.632286,0.303022,-0.932607,3.691371,0.950513,1.959528,0.112048,-0.399717,-0.047549,0.157043,-0.475487,1.570432
114,11.4,0.253548,0.009482,-0.672258,0.268917,-0.953507,3.612832,0.963111,1.998096,0.078821,-0.275353,-0.033227,0.124365,-0.332266,1.243647
115,11.5,0.259715,0.004573,-0.699793,0.233276,-0.971666,3.534292,0.976598,2.0491,0.055819,-0.181684,-0.023002,0.093669,-0.230019,0.936692
116,11.6,0.263985,0.000978,-0.717962,0.196321,-0.986974,3.455752,0.990266,2.109472,0.039895,-0.113989,-0.015925,0.067695,-0.159246,0.67695
117,11.7,0.26699,-0.001646,-0.729361,0.158279,-0.999334,3.377212,1.003593,2.176613,0.028799,-0.066854,-0.011095,0.047135,-0.110953,0.471347
118,11.8,0.269137,-0.003566,-0.736046,0.119384,-1.008672,3.298672,1.016202,2.248467,0.020991,-0.035225,-0.007809,0.031629,-0.078088,0.31629
119,11.9,0.270693,-0.004975,-0.739568,0.079877,-1.01493,3.220132,1.027823,2.323484,0.01543,-0.014845,-0.00556,0.020379,-0.055603,0.203795
