step,t_sec,x,y,yaw,ref_x,ref_y,ref_yaw,pos_err,yaw_err,v_cmd,w_cmd,delta_v,delta_w,lin_accel,ang_accel
97,9.7,0.224306,0.039005,6.679885,0.5103,-0.370755,4.948008,0.499696,1.731876,-0.024569,-0.124461,-0.012264,-0.07,-0.122639,-0.7
98,9.8,0.22204,0.038056,6.667439,0.519638,-0.40965,4.869469,0.537592,1.79797,-0.027521,-0.194461,-0.002952,-0.07,-0.029525,-0.7
99,9.9,0.219488,0.037024,6.647992,0.525896,-0.449157,4.790929,0.574681,1.857064,-0.02304,-0.264461,0.004481,-0.07,0.044807,-0.7
100,10.0,0.217336,0.036202,6.621546,0.529034,-0.489034,4.712389,0.610761,1.909157,-0.013343,-0.334461,0.009697,-0.07,0.096975,-0.7
101,10.1,0.216077,0.035759,6.5881,0.529034,-0.529034,4.633849,0.645704,1.954251,-0.000584,-0.404461,0.012759,-0.07,0.127586,-0.7
102,10.2,0.216021,0.035742,6.547654,0.525896,-0.568911,4.555309,0.679431,1.992345,0.013394,-0.474461,0.013978,-0.07,0.139783,-0.7
103,10.3,0.217314,0.036092,6.500208,0.519638,-0.608418,4.47677,0.711894,2.023439,0.027197,-0.544461,0.013803,-0.07,0.138027,-0.7
104,10.4,0.21997,0.036677,6.445762,0.5103,-0.647313,4.39823,0.743057,2.047532,0.039911,-0.614461,0.012714,-0.07,0.127143,-0.7
105,10.5,0.223909,0.037323,6.384316,0.49794,-0.685355,4.31969,0.772889,2.064626,0.051076,-0.684461,0.011165,-0.07,0.111654,-0.7
106,10.6,0.22899,0.037839,6.31587,0.482632,-0.72231,4.24115,0.80135,2.07472,0.060611,-0.754461,0.009535,-0.07,0.095347,-0.7
107,10.7,0.235048,0.038037,6.240424,0.464473,-0.757951,4.16261,0.828391,2.077814,0.068717,-0.824461,0.008106,-0.07,0.081063,-0.7
108,10.8,0.241913,0.037743,6.157978,0.443573,-0.792056,4.08407,0.853952,2.073907,0.075784,-0.894461,0.007066,-0.07,0.070662,-0.7
109,10.9,0.249432,0.036797,6.068532,0.420061,-0.824417,4.005531,0.877954,2.063001,0.128284,-0.955568,0.0525,-0.061108,0.525,-0.611079
110,11.0,0.261966,0.034064,5.972975,0.394084,-0.854833,3.926991,0.898662,2.045984,0.16053,-1.004455,0.032246,-0.048886,0.322462,-0.488863
111,11.1,0.277253,0.029164,5.87253,0.365799,-0.883118,3.848451,0.916569,2.024079,0.173834,-1.027111,0.013304,-0.022656,0.133043,-0.22656
112,11.2,0.293191,0.022224,5.769818,0.335383,-0.909095,3.769911,0.932275,1.999907,0.223352,-1.032759,0.049518,-0.005648,0.495175,-0.056481
113,11.3,0.312647,0.011255,5.666543,0.303022,-0.932607,3.691371,0.943911,1.975171,0.241262,-0.995139,0.01791,0.03762,0.1791,0.376204
114,11.4,0.33233,-0.002697,5.567029,0.268917,-0.953507,3.612832,0.952922,1.954197,0.286362,-0.953126,0.0451,0.042012,0.451004,0.420122
